,N,M,n,m,T,Salary
0,0,0,0,0,1,2100.0
1,0,0,1,100,1,2694.759274074095
2,0,0,1,200,1,2724.9972842367756
3,0,0,1,300,1,2753.8909299078177
4,0,0,1,400,1,2781.554679280035
5,0,0,1,500,1,2808.088975718201
6,0,0,1,600,1,2833.5824392678337
7,0,0,1,700,1,2858.113652456684
8,0,0,1,800,1,2881.7526211677527
9,0,0,1,900,1,2904.5619790450783
10,0,0,1,1000,1,2926.5979876342712
11,0,0,1,1500,1,3026.7959295219894
12,0,0,1,2000,1,3113.591334727929
13,0,0,1,2500,1,3190.1503079045783
14,0,0,1,3000,1,3258.634643082165
15,0,0,2,100,1,2807.259274074095
16,0,0,2,200,1,2837.4972842367756
17,0,0,2,300,1,2866.3909299078177
18,0,0,2,400,1,2894.054679280035
19,0,0,2,500,1,2920.588975718201
20,0,0,2,600,1,2946.0824392678337
21,0,0,2,700,1,2970.613652456684
22,0,0,2,800,1,2994.2526211677527
23,0,0,2,900,1,3017.0619790450783
24,0,0,2,1000,1,3039.0979876342712
25,0,0,2,1500,1,3139.2959295219894
26,0,0,2,2000,1,3226.091334727929
27,0,0,2,2500,1,3302.6503079045783
28,0,0,2,3000,1,3371.134643082165
29,0,0,3,100,1,2919.759274074095
30,0,0,3,200,1,2949.9972842367756
31,0,0,3,300,1,2978.8909299078177
32,0,0,3,400,1,3006.554679280035
33,0,0,3,500,1,3033.088975718201
34,0,0,3,600,1,3058.5824392678337
35,0,0,3,700,1,3083.113652456684
36,0,0,3,800,1,3106.7526211677527
37,0,0,3,900,1,3129.5619790450783
38,0,0,3,1000,1,3151.5979876342712
39,0,0,3,1500,1,3251.7959295219894
40,0,0,3,2000,1,3338.591334727929
41,0,0,3,2500,1,3415.1503079045783
42,0,0,3,3000,1,3483.634643082165
43,0,0,4,100,1,3032.259274074095
44,0,0,4,200,1,3062.4972842367756
45,0,0,4,300,1,3091.3909299078177
46,0,0,4,400,1,3119.054679280035
47,0,0,4,500,1,3145.588975718201
48,0,0,4,600,1,3171.0824392678337
49,0,0,4,700,1,3195.613652456684
50,0,0,4,800,1,3219.2526211677527
51,0,0,4,900,1,3242.0619790450783
52,0,0,4,1000,1,3264.0979876342712
